input,category
很多排桌椅，椅子前面是长条桌子，两边有窗户，天花板有灯，此虚拟会议室目的是开展上课、学术会议。,2
我想开展小组讨论，没有桌子，没有桌子，椅子拼成一个圈。,3
我想开展学术会议，办公会议，校园展览，宽敞，明亮，有投影。,5
很多排椅子，没有桌子。,0
整体体积大，容纳人数多，且舞台上看不到后方，方便摸鱼，桌椅按排组织，从前到后逐渐身高，这个会议室适合于强制参与人数的讲座。,2
每个圆桌将人聚集在一起，以大圆桌的方式组织，根据会议室大小圆桌均匀分布在会议室内，这个会议室适合于小组讨论。,1
大学教室布局，紧密排布，中间一行八个座椅，两侧一行四个座椅，从前到后座位高度依次变高，讲台，窗户窗帘拉开，天花板吊灯。,2
我想拿这个会议室进行公司会议、组会，三面有椅子，都能看到最前面的投影。,5
我想开展学术会议。,4
桌子和椅子围在一起，有显示大屏。,1
我想开展学术会议，展会，年会，由内向外呈同心圆状分布。,3
此虚拟会议室目的是开展学术会议。,2
圆桌适合吃席，有个舞台可以给观众看节目，几十张圆桌均匀分布，每张桌子上10个座位，有一个主舞台，这个会议室适合于年会，婚礼。,1
小隔间，单桌，私密性好。,4
桌子和椅子围在一起，有显示大屏，桌子一小组一小组。,1
较长的矩形桌，座椅围绕摆放，有电子屏幕，落地窗。,4
两大列座位分布在道路两侧，每大列包含数行、数列座位。,0
我想开展小组，分小组放的桌子，分小组分布，没有窗户感觉很压抑。,1
很多排椅子，四周都是墙壁，天花板上有灯，没有桌子只有椅子。,0
这个会议室适合于小组讨论，晚会，正方形的桌子间隔放置，每张桌子的靠近摄像头的两侧各放两张桌子，房间一侧有窗帘和窗户，没有投影，没有讲台，天花板上有挂灯。,1
没有桌子，所有人坐在椅子上围绕程圆圈，有窗户、阳光。,3
这个会议室用途是新闻发布会。,0
桌子椅子围成半方形，有一张独立的桌椅，有装饰，有投影仪，有投影仪，桌子围成半圆。,5
一个长方形桌子，桌子两边有十几张椅子，最前面有个屏幕，这个会议室用途是研讨会、组会、小组讨论。,4
大家都能看到中间的说话者，外围五圈白色椅子围绕着中间五张椅子，椅子中间有一张圆桌，墙上有一个投影，一侧有落地窗，这个会议室适合进行沙龙。,3
这个会议室适合进行小组讨论，桌子一小组一小组，桌子和椅子围在一起，有显示大屏。,1
阶梯教室里有7排椅子，中间有过道，除最后一排是14个椅子，其他排都是12把椅子。,0
这个会议室适合进行小组讨论、小型报告、年会。,1
此虚拟会议室目的是开展看电影、看表演。,0
我想拿这个会议室进行学术会议、听领导讲话。,5
数排、数列带桌子的椅子，投影仪居中且屏幕大。,0
